,title,price,url,image url
0,"10,000 Ebong Aro 1ti Dharshan : Humayun Azad",$10.00,https://atnmegastore.ca/product/10000-ebong-aro-1ti-dharshan-humayun-azad/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/04/Book20210418_15472355.jpg?time=1695052098
1,100 Premer Kabita  : Sunil Gangapadhay,$15.00,https://atnmegastore.ca/product/100-premer-kobita-sunil-gangapadhay/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/12/Indian-books20220423_16335382.jpg?time=1695052098
2,1952 Nichok Kono sonkha Noy : Mohammad Nazim Uddin,$30.00,https://atnmegastore.ca/product/1952-nichok-kono-sonkha-noy-mohammad-nazim-uddin/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/05/BD-Order-20210401_23534119.jpg?time=1695052098
3,1971 : Humayan Ahmed,$8.00,https://atnmegastore.ca/product/1971-1/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Book20210411_21311606.jpg?time=1695052098
4,"1971 Bandhur Mukh, Shatrur Chaya",$20.00,https://atnmegastore.ca/product/1971-bandhur-mukh-shatrur-chaya/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
5,1971 Bangladesher Shotru Mitro :  Sohrab Hasan,$15.00,https://atnmegastore.ca/product/1971-bangladesher-shotru-mitro/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/197120200719_14403198.jpg?time=1695052098
6,25 Bacharer Premer Kabita : Abu Sayeed Ayyub,$15.00,https://atnmegastore.ca/product/25-bacharer-premer-kabita/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
7,25 Jon Nabi O Rasul : Mowlana Abul Kalam Azad,$15.00,https://atnmegastore.ca/product/25-jon-nabi-o-rasul/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Books20210306_18554603.jpg?time=1695052098
8,25ti Praptamonoskader Golpa : Sunil Gangapadhay,$40.00,https://atnmegastore.ca/product/25ti-praptamonoskader-golpa-sunil-gangapadhay/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/12/Indian-books20220423_16595273.jpg?time=1695052098
9,32 Number Pasher Bari-25 March 15 August : Mohiuddin Ahmad,$15.00,https://atnmegastore.ca/product/32-number-pasher-bari-25-march-15-august-mohiuddin-ahmad/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/01/Mohiuddin-Ahmad20210105_17391473.jpg?time=1695052098
10,A Few Youths In The Moon :  Humayan Ahmed,$8.00,https://atnmegastore.ca/product/a-few-youths-in-the-moon/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/july-27-202220220728_15314372.jpg?time=1695052098
11,A Tale Of Millions : Rafiqul Islam Bir Uttam,$35.00,https://atnmegastore.ca/product/a-tale-of-millions/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/A-tale-of-Millions20200802_19083401-1.jpg?time=1695052098
12,A Time To Die,$20.00,https://atnmegastore.ca/product/a-time-to-die/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/a-time-to-die.jpg?time=1695052098
